gene_name,read_count
IL9R:NM_002186,0
VAMP7:NM_001145149,0
CDY1:NM_004680,0
BPY2C:NM_001002761,0
DAZ4:NM_020420,0
DAZ3:NM_020364,0
BPY2B:NM_001002760,0
CDY1B:NM_001003895,0
DAZ2:NM_001005786,0
DAZ1:NM_001388496,0
BPY2:NM_004678,0
PRY:NM_004676,0
RBMY1J:NM_001006117,0
RBMY1F:NM_001382382,0
PRY2:NM_001002758,0
RBMY1E:NM_001006118,0
RBMY1D:NM_001320950,0
RBMY1A1:NM_001320945,0
RBMY1B:NM_001320948,0
RPS4Y2:NM_001039567,0
EIF1AY:NM_001278612,0
KDM5D:NM_001146705,0
HSFY2:NM_001001877,0
HSFY1:NM_152584,0
CDY2A:NM_004825,0
CDY2B:NM_001001722,0
NLGN4Y:NM_001206850,0
VCY1B:NM_181880,0
VCY:NM_004679,0
TMSB4Y:NM_004202,0
UTY:NM_001400170,0
DDX3Y:NM_001122665,0
USP9Y:NM_004654,0
TTTY15:NR_174086,0
TSPY10:NM_001282469.3_2,0
TSPY9:NM_001396063.1_2,0
TSPY1:NM_001320964.2_2,0
TSPY3:NM_001077697.2_2,0
TSPY8:NM_001243721.2_2,0
TSPY4:NM_001164471.2_2,0
NMTRQ-TTG8-1:NMTRQ-TTG8-1,0
TBL1Y:NM_134258,0
AMELY:NM_001143,0
TSPY2:NM_022573.4_2,0
PCDH11Y:NM_001395587,0
TGIF2LY:NM_139214,0
ZFY:NM_001369708,0
RPS4Y1:NM_001008,0
SRY:NM_003140,0
CD99:NM_001321369,0
ZBED1:NM_001171136,0
DHRSX:NM_145177,0
ASMT:NM_004043,0
AKAP17A:NM_005088,0
P2RY8:NM_178129,0
ASMTL:NM_001173473,0
SLC25A6:NM_001636,0
IL3RA:NM_001267713,0
CSF2RA:NM_001379162,0
CRLF2:NM_022148,0
SHOX:NM_006883,0
PPP2R3B:NM_013239,0
GTPBP6:NM_012227,0
PLCXD1:NM_001370371,0
SPRY3:NM_001304990,25
TMLHE:NM_018196,25
H2AB3:NM_080720,0
F8A3:NM_001007524,0
F8A2:NM_001007523,0
H2AB2:NM_001017991,0
CLIC2:NM_001289,25
RAB39B:NM_171998,0
VBP1:NM_001303544,0
BRCC3:NM_001018055,44
MTCP1:NM_001018025,44
CMC4:NM_001018024,44
FUNDC2:NM_023934,31
F8A1:NM_012151,0
H2AB1:NM_001017990,0
F8:NM_000132,3
SMIM9:NM_001162936,2
MPP1:NM_001166462,39
DKC1:NM_001142463,46
GAB3:NR_104114,23
CTAG2:NM_020994,0
CTAG1B:NM_001327,0
CTAG1A:NM_139250,0
IKBKG:NM_001377313,5
G6PD:NM_001042351,51
FAM3A:NM_001282311,23
SLC10A3:NM_019848,29
UBL4A:NM_014235,32
LAGE3:NM_006014,16
PLXNA3:NM_017514,19
FAM50A:NM_004699,20
GDI1:NM_001493,7
ATP6AP1:NM_001183,22
TAFAZZIN:NM_181313,20
DNASE1L1:NM_001009932,18
RPL10:NM_001256580,62
EMD:NM_000117,38
FLNA:NM_001110556,2
TKTL1:NM_001145933,0
TEX28:NM_001205201,0
OPN1MW3:NM_001330067,0
OPN1MW2:NM_001048181,0
OPN1MW:NM_000513,0
OPN1LW:NM_020061,0
MECP2:NM_001316337,30
IRAK1:NM_001569,36
TMEM187:NM_003492,74
HCFC1:NM_005334,87
RENBP:NM_002910,7
NAA10:NM_003491,19
ARHGAP4:NM_001164741,22
AVPR2:NR_027419,1
L1CAM:NM_001278116,3
PDZD4:NM_001303513,1
SSR4:NM_001204527,49
IDH3G:NM_174869,49
SRPK3:NM_001170761,0
PLXNB3:NM_005393,24
ABCD1:NM_000033,41
BCAP31:NM_005745,40
SLC6A8:NM_001142805,20
PNCK:NM_001366975,19
DUSP9:NM_001395,3
CCNQ:NM_152274,20
ATP2B3:NM_001388361,1
BGN:NM_001711,0
HAUS7:NM_001385483,0
TREX2:NM_080701,1
ZFP92:NM_001386943,7
PNMA6E:NM_001367770,2
ZNF275:NM_001080485,17
PNMA6F:NM_001354980,0
PWWP4:NM_001395996,0
MAGEA1:NM_004988,5
PNMA6A:NM_032882,0
PNMA3:NM_001282535,2
PNMA5:NM_001184924.2_2,0
ZNF185:NM_001388432.2_2,0
NSDHL:NM_015922.3_2,26
CETN2:NM_004344.3_2,25
MAGEA6:NM_175868.4_2,0
MAGEA2:NM_005361.3_2,0
MAGEA12:NM_005367.7_2,50
CSAG1:NM_153478.3_2,50
MAGEA2B:NM_001321404.1_2,0
CSAG2:NM_001395334.1_2,0
MAGEA3:NM_005362.4_2,2
GABRQ:NM_018558.4_2,4
GABRA3:NM_000808,0
MAGEA10:NM_001011543,1
GABRE:NM_004961,68
MAGEA4:NM_001386196,2
CNGA2:NM_005140,1
FATE1:NM_033085,3
PRRG3:NM_001372165,0
PASD1:NM_173493,10
VMA21:NM_001363810,43
GPR50:NM_004224,1
HMGB3:NM_001301231,0
CD99L2:NM_001242614,22
MTMR1:NM_001353993,16
MTM1:NM_001376907,16
MAMLD1:NM_001400514,2
HSFX4:NM_001351114,0
EOLA2:NM_001013845,45
MAGEA8:NM_005364,8
MAGEA9:NM_005365,0
HSFX1:NM_016153,0
MAGEA11:NM_001011544,1
TMEM185A:NM_032508,15
HSFX2:NM_001164415,0
MAGEA9B:NM_001080790,0
HSFX3:NM_001323079,0
EOLA1:NM_001324279,29
IDS:NM_000202,6
AFF2:NM_001169125,1
FMR1NB:NM_152578,2
FMR1:NM_001185081,25
CXorf51A:NM_001144064,0
CXorf51B:NM_001244892,0
SLITRK2:NM_001144003,2
SPANXN1:NM_001009614,2
SPANXN2:NM_001009615.3_2,0
SLITRK4:NM_001184749,0
SPANXN3:NM_001009609,0
SPANXN4:NM_001009613,1
MAGEC2:NM_016249,12
MAGEC1:NM_005462,4
MAGEC3:NM_138702,1
SPANXD:NM_032417,0
SPANXA2:NM_145662,0
SPANXA1:NM_013453,0
SPANXC:NM_022661,0
LDOC1:NM_012317,3
SPANXB1:NM_032461,1
SOX3:NM_005634,0
CXorf66:NM_001013403,0
ATP11C:NM_001353811,28
MCF2:NM_001171876,0
F9:NM_001313913,0
FGF13:NM_001139501,20
ZIC3:NM_001330661,1
GPR101:NM_054021,4
RBMX:NM_001164803,55
ARHGEF6:NM_004840,3
CD40LG:NM_000074,0
VGLL1:NM_016267,0
HTATSF1:NM_001163280,35
BRS3:NM_001727,1
ADGRG4:NM_153834,3
MAP7D3:NM_001173516,0
FHL1:NR_027621,3
SLC9A6:NM_001400909,26
MMGT1:NM_173470,27
SAGE1:NM_001381902,31
CT45A10:NM_001291530,31
CT45A9:NM_001291540,0
CT45A8:NM_001291535,0
CT45A7:NM_001394668,0
CT45A2:NM_152582,0
CT45A6:NM_001017438,0
CT45A5:NM_001007551,0
CT45A3:NM_001370148,0
CT45A1:NM_001017417,1
INTS6L:NM_001351606,37
SMIM10L2A:NM_203306,6
ZNF449:NM_152695,48
ETDC:NM_001358449,1
ETDA:NM_001355522,0
ZNF75D:NR_110381,49
CT55:NM_017863,18
ETDB:NM_001355519,0
SMIM10L2B:NM_001348255,6
RTL8A:NM_001078172,14
RTL8C:NM_001078171,12
RTL8B:NM_001078173,2
SMIM10:NM_001163438,16
MOSPD1:NM_019556,13
PABIR3:NM_001388449,22
PABIR2:NM_001387469,21
PLAC1:NM_001316887,0
HPRT1:NM_000194,28
PHF6:NM_001015877,39
CCDC160:NM_001353453,3
GPC3:NM_001164617,1
GPC4:NM_001448,0
TFDP3:NM_016521,1
USP26:NM_031907,0
HS6ST2:NM_001077188,0
MBNL3:NM_001386892,0
RAP2C:NM_001271186,30
FRMD7:NM_194277,0
STK26:NM_001042453,61
OR13H1:NM_001004486,3
IGSF1:NM_001170961,2
ARHGAP36:NM_001282607,2
ENOX2:NM_001382516,13
RBMX2:NM_016024,30
GPR119:NM_178471,1
SLC25A14:NM_001282198,20
ZNF280C:NM_017666,27
AIFM1:NM_001130847,24
RAB33A:NM_004794,1
ELF4:NM_001421,40
BCORL1:NM_001184772,18
UTP14A:NM_001166221,23
ZDHHC9:NM_016032,34
SASH3:NM_018990,1
XPNPEP2:NM_003399,2
APLN:NM_017413,7
OCRL:NM_001587,16
SMARCA1:NM_003069,11
ACTRT1:NM_138289,2
PRR32:NM_001122716,2
DCAF12L1:NM_178470,1
DCAF12L2:NM_001013628,1
TEX13C:NM_001195272,0
TENM1:NM_001163278,3
SH2D1A:NM_001114937,2
TEX13D:NM_001355534,0
STAG2:NM_001042749,58
XIAP:NM_001378592,46
THOC2:NM_001081550,29
GRIA3:NM_007325,1
GLUD2:NM_012084.4_2,6
CT47A1:NM_001080146.3_2,0
CT47A2:NM_001080145.2_2,0
CT47A3:NM_001080144.2_2,0
CT47A4:NM_001080143.2_2,0
CT47A5:NM_001080142.2_2,0
CT47A6:NM_001080141,0
CT47A7:NM_001080140,0
CT47A8:NM_001080139,0
CT47A9:NM_001080138,0
CT47A10:NM_001080137,0
CT47A11:NM_173571.2_2,0
CT47A12:NM_001242922,0
CT47B1:NM_001145718.3_2,1
C1GALT1C1:NM_152692.5_2,21
MCTS1:NM_014060.3_2,37
CUL4B:NM_003588,0
LAMP2:NM_001122606,22
ATP1B4:NM_012069,3
TMEM255A:NM_017938,1
ZBTB33:NM_006777,28
RHOXF2:NM_032498,6
LINC01402:NR_126557,4
RHOXF1:NM_139282,0
RHOXF2B:NM_001099685,0
NKAP:NM_024528,25
AKAP14:NM_001008534,2
NDUFA1:NM_004541,57
RNF113A:NM_006978,57
UPF3B:NM_080632,36
RPL39:NM_001000,60
SOWAHD:NM_001105576,15
SEPTIN6:NM_145800.4_2,36
NKRF:NM_017544.5_2,28
UBE2A:NM_001282161.2_2,45
STEEP1:NM_001170569.1_2,17
SLC25A5:NM_001152,29
SLC25A43:NM_145305,7
PGRMC1:NM_001282621,34
KIAA1210:NM_020721,0
LONRF3:NM_024778,31
ZCCHC12:NM_001312891,3
IL13RA1:NM_001560,21
DOCK11:NM_144658,35
WDR44:NM_001184966,46
KLHL13:NM_001168301,10
CT83:NM_001017978,0
SLC6A14:NM_007231,0
AGTR2:NM_001385624,3
PLS3:NM_005032,1
LUZP4:NM_001318840,2
RBMXL3:NM_001145346,1
LRCH2:NM_020871,1
IL13RA2:NM_000640,0
HTR2C:NM_001256761,1
AMOT:NM_001386999,2
LHFPL1:NM_178175,2
RTL4:NM_001004308,0
TRPC5OS:NM_001195576,1
TRPC5:NM_012471,0
ALG13:NM_001257230,27
SERTM2:NM_001354473,2
DCX:NM_178151,0
CAPN6:NM_014289,0
PAK3:NM_001128167,0
CHRDL1:NM_001367204,2
TDGF1P3:NM_001397362,0
RTL9:NM_001385449,2
GNG5P2:NM_001396022,1
AMMECR1:NM_001171689,1
TMEM164:NM_001353849,30
ACSL4:NM_022977,51
KCNE5:NM_012282,1
NXT2:NM_018698,21
GUCY2F:NM_001522,0
IRS4:NM_001379150,0
COL4A5:NM_000495,7
COL4A6:NM_001847,7
ATG4A:NM_178270,27
PSMD10:NM_002814,27
VSIG1:NM_182607,0
TEX13B:NM_031273,0
MID2:NM_001382752,0
NCBP2L:NM_001348372,4
TSC22D3:NM_001318468,4
PRPS1:NM_001204402,24
FRMPD3:NM_001388462,1
DNAAF6:NM_173494,31
NUP62CL:NM_017681,31
RBM41:NM_001394122,11
MORC4:NM_024657,1
CLDN2:NM_001171092,2
RIPPLY1:NM_138382,1
TBC1D8B:NM_017752,3
RNF128:NM_024539,0
RADX:NM_001184782,0
PWWP3B:NM_001171020,1
SERPINA7:NM_000354,1
NRK:NM_198465,0
TEX13A:NM_031274,0
IL1RAPL2:NM_017416,0
ESX1:NM_153448,0
FAM199X:NM_207318,40
ZCCHC18:NM_001143978,4
SLC25A53:NM_001012755,31
H2BW2:NM_001388464,1
H2BW1:NM_001002916,1
TMSB15B:NM_001350213,3
PLP1:NM_001128834,0
TMEM31:NM_182541,2
MORF4L2:NM_001142422,30
TCEAL1:NM_001006640,3
TCEAL3:NM_032926,0
TCEAL4:NM_001300901,1
RAB40A:NM_080879,2
BEX3:NM_001282674,0
TCEAL9:NM_001006614,10
TCEAL7:NM_001348258,2
BEX2:NM_001168399,9
TCEAL5:NM_001012979,6
TCEAL8:NM_153333,17
BEX4:NM_001080425,30
NXF3:NM_022052,0
BEX1:NM_018476,1
RAB40AL:NM_001031834,0
BHLHB9:NM_001142528,3
GPRASP2:NM_138437,11
GPRASP1:NM_001099411,1
ARMCX5:NM_001168485,16
TMSB15A:NM_021992,6
TCP11X2:NM_001277423,0
NXF2B:NM_001099686,1
NXF2:NM_022053,0
TCP11X1:NM_001368158,0
BEX5:NM_001012978.3_2,5
TCEAL6:NM_001006938,0
TCEAL2:NM_080390.4_2,1
ZMAT1:NM_001011657,3
ARMCX2:NM_177949,2
ARMCX3:NM_177947,19
ARMCX6:NM_001184768,15
ARMCX1:NM_016608,4
ARMCX4:NR_028407,2
HNRNPH2:NM_001032393,46
GLA:NM_000169,45
RPL36A:NM_021029,60
RPL36A-HNRNPH2:NM_001199974,60
BTK:NM_001287344,59
TIMM8A:NM_001145951,29
TAF7L:NM_024885,3
DRP2:NM_001171184,1
CENPI:NM_001386188,17
TMEM35A:NM_021637,1
TRMT2B:NM_001167972,18
ARL13A:NM_001162491,1
XKRX:NM_212559,1
NOX1:NM_007052,1
CSTF2:NM_001306209,25
SYTL4:NM_001370167,3
SRPX2:NM_014467,4
TSPAN6:NM_001278741,0
TNMD:NM_022144,1
PCDH19:NM_001184880,0
RPA4:NM_013347,0
DIAPH2:NM_006729,0
FAM133A:NM_173698,2
NAP1L3:NM_004538,2
PCDH11X:NM_032968,1
PABPC5:NM_080832,0
TGIF2LX:NM_138960,0
CPXCR1:NM_001184771,0
KLHL4:NM_057162,4
DACH2:NM_001139514,2
CHM:NM_000390,23
POF1B:NM_024921,1
ZNF711:NM_001375431,12
SATL1:NM_001367858,12
APOOL:NM_198450,18
HDX:NM_001177479,1
RPS6KA6:NM_014496,2
CYLC1:NM_001271680,1
POU3F4:NM_000307,1
SH3BGRL:NM_003022,11
HMGN5:NM_030763,11
BRWD3:NM_153252,24
TENT5D:NM_001170574,2
TBX22:NM_001109879.2_2,1
ITM2A:NM_004867,22
GPR174:NM_032553,1
P2RY10:NM_198333,1
LPAR4:NM_001278000,1
RTL3:NM_152694,1
CYSLTR1:NM_001282188,1
TAF9B:NM_015975,14
PGK1:NM_000291,43
PGAM4:NM_001029891,0
ATP7A:NM_001282224,13
COX7B:NM_001866,32
MAGT1:NM_001367916,16
ATRX:NM_000489,11
FGF16:NM_003868,0
MAGEE1:NM_020932,1
PBDC1:NM_001300888,16
MAGEE2:NM_138703,1
ZDHHC15:NM_144969,1
UPRT:NM_001363821,25
ABCB7:NM_004299,25
NEXMIF:NM_001008537,0
RLIM:NM_183353,25
SLC16A2:NM_006517,0
ZCCHC13:NM_203303,0
CHIC1:NM_001300884,10
CDX4:NM_005193,0
NAP1L2:NM_021963,2
PABPC1L2A:NM_001012977,0
PABPC1L2B:NM_001042506,0
FAM236A:NM_001348071,0
FAM236C:NM_001351112,0
DMRTC1:NM_033053,0
FAM236D:NM_001348203,0
FAM236B:NM_001348072,0
DMRTC1B:NM_001386972,0
PHKA1:NM_002637,10
HDAC8:NM_018486,21
CITED1:NM_001144886,8
RPS4X:NM_001007,46
ERCC6L:NM_001009954,7
PIN4:NM_001170747,30
RTL5:NM_001024455,1
NHSL2:NM_001013627,2
CXorf49B:NM_001145139,0
CXorf49:NM_001145140,0
CXCR3:NM_001142797,0
GCNA:NM_052957,3
OGT:NM_181673,50
TAF1:NR_104394,46
ITGB1BP2:NM_001303277,4
NONO:NM_001145410,34
ZMYM3:NM_001171162,30
GJB1:NM_001097642,0
NLGN3:NM_001321276,2
MED12:NM_005120,17
IL2RG:NM_000206,4
CXorf65:NM_001025265,3
FOXO4:NM_001170931,23
SNX12:NM_001256185,4
SLC7A3:NM_032803,1
TEX11:NM_001003811,2
DLG3:NM_021120,0
GDPD2:NM_001171191,1
KIF4A:NM_012310,41
PDZD11:NM_001370176,41
RAB41:NM_001032726,1
ARR3:NM_004312,1
