gene_name,read_count
IL9R:NM_002186,0
VAMP7:NM_001145149,0
CDY1:NM_004680,0
BPY2C:NM_001002761,0
DAZ4:NM_020420,0
DAZ3:NM_020364,0
BPY2B:NM_001002760,0
CDY1B:NM_001003895,0
DAZ2:NM_001005786,0
DAZ1:NM_004081,0
BPY2:NM_004678,0
PRY:NM_004676,0
RBMY1J:NM_001006117,0
RBMY1F:NM_001382382,0
PRY2:NM_001002758,0
RBMY1E:NM_001006118,0
RBMY1D:NM_001320950,0
RBMY1A1:NM_001320945,0
RBMY1B:NM_001320948,0
RPS4Y2:NM_001039567,0
EIF1AY:NM_001278612,0
KDM5D:NM_001146705,0
HSFY2:NM_001001877,0
HSFY1:NM_152584,0
XKRY2:NM_001002906,0
CDY2A:NM_004825,0
CDY2B:NM_001001722,0
XKRY:NM_004677,0
NLGN4Y:NM_001206850,0
VCY1B:NM_181880,0
VCY:NM_004679,0
TMSB4Y:NM_004202,0
UTY:NM_001258262,0
DDX3Y:NM_001122665,0
USP9Y:NM_004654,0
TTTY15:NR_001545,0
TSPY10:NM_001282469,0
TSPY1:NM_001320964,0
TSPY3:NM_001077697,0
TSPY8:NM_001243721,0
TSPY4:NM_001164471,0
NMTRQ-TTG8-1:NMTRQ-TTG8-1,0
TBL1Y:NM_134258,0
AMELY:NM_001364814,0
TSPY2:NM_022573,0
PCDH11Y:NM_032973,0
TGIF2LY:NM_139214,0
ZFY:NM_001369708,0
RPS4Y1:NM_001008,0
SRY:NM_003140,0
CD99:NM_001321369,0
ZBED1:NM_001171136,0
DHRSX:NM_145177,0
ASMT:NM_004043,0
AKAP17A:NM_005088,0
P2RY8:NM_178129,0
ASMTL:NM_001173473,0
SLC25A6:NM_001636,0
IL3RA:NM_001267713,0
CSF2RA:NM_001379162,0
CRLF2:NM_022148,0
SHOX:NM_006883,0
PPP2R3B:NM_013239,0
GTPBP6:NM_012227,0
PLCXD1:NM_001370371,0
SPRY3:NM_001304990,1
TMLHE:NM_018196.4_2,1
H2AB3:NM_080720.3_2,0
F8A3:NM_001007524.2_2,0
F8A2:NM_001007523.2_2,2
H2AB2:NM_001017991.3_2,2
CLIC2:NM_001289.6_2,0
RAB39B:NM_171998.4_2,0
VBP1:NM_001303544.1_2,0
BRCC3:NM_001018055.3_2,1
MTCP1:NM_001018025.4_2,1
CMC4:NM_001018024.3_2,1
FUNDC2:NM_023934.4_2,0
F8A1:NM_012151.4_2,2
H2AB1:NM_001017990.2_2,5
F8:NM_000132.4_2,0
SMIM9:NM_001162936.2_2,0
MPP1:NM_001166462.2_2,1
DKC1:NM_001142463.3_2,0
CTAG2:NM_020994.5_2,0
CTAG1B:NM_001327.3_2,0
CTAG1A:NM_139250.2_2,0
IKBKG:NM_001377313.1_2,1
G6PD:NM_001042351.3_2,1
FAM3A:NM_001282311.2_2,4
SLC10A3:NM_019848.5_2,3
UBL4A:NM_014235.5_2,2
LAGE3:NM_006014.4_2,2
PLXNA3:NM_017514.5_2,12
FAM50A:NM_004699.4_2,2
GDI1:NM_001493.3_2,0
ATP6AP1:NM_001183.6_2,0
TAZ:NM_181313.4_2,1
DNASE1L1:NM_001009932.3_2,1
RPL10:NM_001256580.2_2,0
EMD:NM_000117.3_2,0
FLNA:NM_001110556.2_2,1
TKTL1:NM_001145933.2_2,0
OPN1MW2:NM_001048181.2_2,0
OPN1MW:NM_000513.2_2,0
OPN1LW:NM_020061.6_2,7
MECP2:NM_001316337.2_2,1
IRAK1:NM_001569.4_2,0
TMEM187:NM_003492.3_2,3
HCFC1:NM_005334.3_2,2
RENBP:NM_002910.6_2,3
NAA10:NM_003491.4_2,0
ARHGAP4:NM_001164741.2_2,2
L1CAM:NM_001278116.2_2,3
PDZD4:NM_001303513.3_2,2
SSR4:NM_001204527.2_2,0
IDH3G:NM_174869.3_2,0
SRPK3:NM_001170761.2_2,0
PLXNB3:NM_005393.3_2,0
ABCD1:NM_000033.4_2,1
BCAP31:NM_005745.8_2,1
SLC6A8:NM_001142805.2_2,1
PNCK:NM_001366975.1_2,1
DUSP9:NM_001395.4_2,0
CCNQ:NM_152274.5_2,1
ATP2B3:NM_001001344.2_2,1
BGN:NM_001711.6_2,1
HAUS7:NM_001385483.1_2,1
TREX2:NM_080701.4_2,0
ZFP92:NM_001386943.1_2,0
PNMA6E:NM_001367770.1_2,2
ZNF275:NM_001080485.4_2,0
PNMA6F:NM_001354980.2_2,3
MAGEA1:NM_004988.5_2,1
PNMA6A:NM_032882.6_2,1
PNMA3:NM_001282535.2_2,0
PNMA5:NM_001184924.2_2,2
ZNF185:NM_001178110.1_2,0
NSDHL:NM_015922.3_2,0
CETN2:NM_004344.3_2,0
MAGEA6:NM_175868.3_2,1
MAGEA2:NM_005361.3_2,0
CSAG1:NM_001102576.3_2,1
MAGEA12:NM_001166387.4_2,1
MAGEA2B:NM_001321404.1_2,0
MAGEA3:NM_005362.4_2,0
GABRQ:NM_018558.4_2,0
GABRA3:NM_000808,1
MAGEA10:NM_001011543,0
MAGEA5:NM_021049,0
MAGEA10-MAGEA5:NM_001204811,0
GABRE:NM_004961,1
MAGEA4:NM_001386196,1
CNGA2:NM_005140,1
FATE1:NM_033085,1
PRRG3:NM_001372165,1
PASD1:NM_173493,1
VMA21:NM_001363810,2
GPR50:NM_004224,0
HMGB3:NM_001301231.2_2,1
CD99L2:NM_001242614.2_2,0
MTMR1:NM_001353993.1_2,1
MTM1:NM_001376907.1_2,0
MAMLD1:NM_001177465.3_2,0
EOLA2:NM_001013845.2_2,0
HSFX4:NM_001351114.2_2,0
MAGEA8:NM_005364.5_2,0
MAGEA9:NM_005365.5_2,1
HSFX1:NM_016153.3_2,1
MAGEA11:NM_001011544.2_2,1
TMEM185A:NM_032508.4_2,0
HSFX2:NM_001164415.3_2,3
MAGEA9B:NM_001080790.1_2,0
HSFX3:NM_001323079.3_2,1
EOLA1:NM_001324279.2_2,0
IDS:NM_000202.8_2,1
AFF2:NM_001169125.2_2,0
FMR1NB:NM_152578.3_2,2
FMR1:NM_001185081.2_2,2
CXorf51A:NM_001144064.2_2,1
CXorf51B:NM_001244892.2_2,0
SLITRK2:NM_001144003.3_2,0
SPANXN1:NM_001009614.3_2,0
SPANXN2:NM_001009615.2_2,3
SLITRK4:NM_001184749.3_2,0
SPANXN3:NM_001009609.4_2,0
SPANXN4:NM_001009613,0
MAGEC2:NM_016249,0
MAGEC1:NM_005462,0
MAGEC3:NM_138702,1
SPANXD:NM_032417.4_2,1
SPANXA2:NM_145662.4_2,1
SPANXA1:NM_013453.3_2,2
LDOC1:NM_012317.4_2,0
SPANXB1:NM_032461.4_2,0
CDR1:NM_004065,0
SOX3:NM_005634,0
CXorf66:NM_001013403,0
ATP11C:NM_001353811,0
MCF2:NM_001171876,0
F9:NM_001313913,0
FGF13:NM_001139501,1
ZIC3:NM_001330661,0
GPR101:NM_054021,1
RBMX:NM_001164803,0
ARHGEF6:NM_004840,0
CD40LG:NM_000074,0
VGLL1:NM_016267,1
HTATSF1:NM_001163280,2
BRS3:NM_001727,1
ADGRG4:NM_153834,0
MAP7D3:NM_001173516,1
FHL1:NR_027621,0
SLC9A6:NM_001330652.2_2,0
MMGT1:NM_173470.3_2,1
SAGE1:NM_001381902.1_2,2
CT45A10:NM_001291530.2_2,2
CT45A9:NM_001291540.2_2,1
CT45A8:NM_001291535.1_2,1
CT45A3:NM_001370148.2_2,0
CT45A5:NM_001007551.4_2,1
CT45A1:NM_001017417.3_2,1
INTS6L:NM_001351606.3_2,0
SMIM10L2A:NM_203306.3_2,0
ZNF449:NM_152695.6_2,1
ETDC:NM_001358449.1_2,0
ETDA:NM_001355522.1_2,0
CT55:NM_017863.2_2,2
ETDB:NM_001355519.1_2,1
SMIM10L2B:NM_001348255.2_2,2
RTL8A:NM_001078172,1
RTL8C:NM_001078171,2
RTL8B:NM_001078173,1
SMIM10:NM_001163438,2
MOSPD1:NM_019556,0
PABIR3:NR_158603,0
PABIR2:NM_001387469,1
PLAC1:NM_001316887,1
HPRT1:NM_000194,0
PHF6:NM_001015877,0
CCDC160:NM_001101357,1
GPC3:NM_001164617,0
GPC4:NM_001448,2
TFDP3:NM_016521,2
USP26:NM_031907,0
HS6ST2:NM_001077188,0
MBNL3:NM_001386892,1
RAP2C:NM_001271186,1
FRMD7:NM_194277,0
STK26:NM_001042453,0
OR13H1:NM_001004486,0
IGSF1:NM_001170961,1
ARHGAP36:NM_001282607,1
ENOX2:NM_001382516,4
RBMX2:NM_016024,3
GPR119:NM_178471,1
SLC25A14:NM_001282198,2
ZNF280C:NM_017666,1
RAB33A:NM_004794,2
AIFM1:NM_001130847,1
ELF4:NM_001421,0
BCORL1:NM_001184772,4
UTP14A:NM_001166221,0
ZDHHC9:NM_016032,1
SASH3:NM_018990,0
XPNPEP2:NM_003399,0
APLN:NM_017413,0
OCRL:NM_001587,0
SMARCA1:NM_003069,0
ACTRT1:NM_138289,0
PRR32:NM_001122716,2
DCAF12L1:NM_178470,2
DCAF12L2:NM_001013628,2
TEX13C:NM_001195272,1
TENM1:NM_001163278,5
SH2D1A:NM_001114937,3
TEX13D:NM_001355534,3
STAG2:NM_001042749,2
XIAP:NM_001378592,2
THOC2:NM_001081550,0
GRIA3:NM_007325,0
GLUD2:NM_012084,0
CT47A1:NM_001080146,4
CT47A2:NM_001080145,0
CT47A3:NM_001080144,1
CT47A4:NM_001080143,0
CT47A5:NM_001080142,1
CT47A6:NM_001080141,1
CT47A7:NM_001080140,1
CT47A8:NM_001080139,2
CT47A9:NM_001080138,0
CT47A10:NM_001080137,0
CT47A11:NM_173571,0
CT47A12:NM_001242922,0
CT47B1:NM_001145718,2
C1GALT1C1:NM_152692,1
MCTS1:NM_014060,0
CUL4B:NM_003588,1
LAMP2:NM_001122606,4
ATP1B4:NM_012069,1
TMEM255A:NM_017938.4_2,1
ZBTB33:NM_006777.4_2,0
RHOXF2:NM_032498.3_2,0
RHOXF1:NM_139282.3_2,1
RHOXF2B:NM_001099685.3_2,0
NKAP:NM_024528,2
AKAP14:NM_001008534,2
NDUFA1:NM_004541,0
RNF113A:NM_006978,0
UPF3B:NM_080632,1
RPL39:NM_001000,0
SOWAHD:NM_001105576,2
SEPTIN6:NM_145800,1
NKRF:NM_017544,0
UBE2A:NM_001282161,1
CXorf56:NM_001170569,1
SLC25A5:NM_001152,1
SLC25A43:NM_145305,1
PGRMC1:NM_001282621,0
KIAA1210:NM_020721,1
LONRF3:NM_024778,1
ZCCHC12:NM_001312891,3
IL13RA1:NM_001560,0
DOCK11:NM_144658,1
WDR44:NM_001184966,2
KLHL13:NM_001168301,2
CT83:NM_001017978.4_2,0
SLC6A14:NM_007231.5_2,2
AGTR2:NM_001385624.1_2,1
PLS3:NM_005032.7_2,0
LUZP4:NM_001318840.2_2,0
RBMXL3:NM_001145346.2_2,4
LRCH2:NM_020871.4_2,1
IL13RA2:NM_000640.3_2,3
HTR2C:NM_001256761.2_2,2
AMOT:NM_001386999,0
LHFPL1:NM_178175,2
RTL4:NM_001004308,1
TRPC5OS:NM_001195576,4
TRPC5:NM_012471,1
ALG13:NM_001257230,1
SERTM2:NM_001354473,1
DCX:NM_178151,0
CAPN6:NM_014289,0
PAK3:NM_001128167,1
CHRDL1:NM_001367204,1
RTL9:NM_001385449,1
AMMECR1:NM_001171689,0
TMEM164:NM_001353849,0
ACSL4:NM_022977,2
KCNE5:NM_012282,0
NXT2:NM_018698,3
GUCY2F:NM_001522,1
IRS4:NM_001379150,0
COL4A5:NM_000495,1
COL4A6:NM_001847,1
ATG4A:NM_178270,1
PSMD10:NM_002814,2
VSIG1:NM_182607,0
TEX13B:NM_031273,4
MID2:NM_001382752,1
NCBP2L:NM_001348372,2
TSC22D3:NM_001318468,1
PRPS1:NM_001204402,0
FRMPD3:NM_032428,0
DNAAF6:NM_173494,2
NUP62CL:NM_017681,2
RBM41:NM_001324242,1
MORC4:NM_024657,0
CLDN2:NM_001171092,1
RIPPLY1:NM_138382,0
TBC1D8B:NM_017752,0
RNF128:NM_024539,0
RADX:NM_001184782,0
PWWP3B:NM_001171020,1
SERPINA7:NM_000354,0
NRK:NM_198465,1
TEX13A:NM_031274.5_2,0
IL1RAPL2:NM_017416.2_2,1
ESX1:NM_153448.4_2,0
FAM199X:NM_207318.4_2,3
ZCCHC18:NM_001143978.3_2,11
SLC25A53:NM_001012755.5_2,1
H2BW2:NM_001377073.1_2,0
H2BW1:NM_001002916.4_2,1
TMSB15B:NM_001350213.2_2,2
PLP1:NM_001128834,2
TMEM31:NM_182541,2
MORF4L2:NM_001142422,1
TCEAL1:NM_001006640,1
TCEAL3:NM_032926,2
TCEAL4:NM_001300901,1
RAB40A:NM_080879,1
BEX3:NM_001282674,0
TCEAL9:NM_001006614,3
TCEAL7:NM_001348258,1
BEX2:NM_001168399,1
TCEAL5:NM_001012979,1
TCEAL8:NM_153333,1
BEX4:NM_001080425,0
NXF3:NM_022052,3
BEX1:NM_018476,0
RAB40AL:NM_001031834,0
BHLHB9:NM_001142528,0
GPRASP2:NM_138437,1
GPRASP1:NM_001099411,1
ARMCX5:NM_001168485,1
TMSB15A:NM_021992.3_2,0
TCP11X2:NM_001277423.1_2,1
NXF2B:NM_001099686.3_2,2
NXF2:NM_022053.4_2,0
TCP11X1:NM_001368158.1_2,1
BEX5:NM_001012978.3_2,12
TCEAL6:NM_001006938.3_2,1
TCEAL2:NM_080390,3
ZMAT1:NM_001011657,0
NXF5:NM_032946,0
ARMCX2:NM_177949.4_2,2
ARMCX3:NM_177947.3_2,2
ARMCX6:NM_001184768.2_2,2
ARMCX1:NM_016608.2_2,0
HNRNPH2:NM_001032393.3_2,2
GLA:NM_000169.3_2,2
RPL36A:NM_021029.6_2,3
RPL36A-HNRNPH2:NM_001199974.2_2,3
BTK:NM_001287344.2_2,3
TIMM8A:NM_001145951.2_2,1
TAF7L:NM_024885,0
DRP2:NM_001171184,0
CENPI:NM_001318521,1
TMEM35A:NM_021637,0
TRMT2B:NM_001167972,0
ARL13A:NM_001162491,0
XKRX:NM_212559,2
NOX1:NM_007052,0
CSTF2:NM_001306209,2
SYTL4:NM_001370167,1
SRPX2:NM_014467,2
TSPAN6:NM_001278741,2
TNMD:NM_022144,0
PCDH19:NM_001184880,1
RPA4:NM_013347,1
DIAPH2:NM_006729,2
FAM133A:NM_173698,0
NAP1L3:NM_004538,0
PCDH11X:NM_032968,1
PABPC5:NM_080832,0
TGIF2LX:NM_138960,1
CPXCR1:NM_001184771,1
KLHL4:NM_057162,1
DACH2:NM_001139514,1
CHM:NM_000390,3
POF1B:NM_024921,0
ZNF711:NM_001375431,1
SATL1:NM_001367858,1
APOOL:NM_198450,0
HDX:NM_001177479,1
RPS6KA6:NM_014496,0
CYLC1:NM_001271680,0
POU3F4:NM_000307,0
SH3BGRL:NM_003022,0
HMGN5:NM_030763,0
BRWD3:NM_153252,0
TENT5D:NM_001170574,3
TBX22:NM_001109879,1
ITM2A:NM_004867,3
GPR174:NM_032553,0
P2RY10:NM_198333,2
LPAR4:NM_005296,0
RTL3:NM_152694,1
CYSLTR1:NM_001282188,1
TAF9B:NM_015975.5_2,1
PGK1:NM_000291.4_2,0
PGAM4:NM_001029891.3_2,0
ATP7A:NM_001282224.2_2,1
COX7B:NM_001866.3_2,2
MAGT1:NM_001367916.1_2,2
ATRX:NM_000489.6_2,1
FGF16:NM_003868.3_2,1
MAGEE1:NM_020932.3_2,0
PBDC1:NM_001300888.2_2,0
MAGEE2:NM_138703,1
ZDHHC15:NM_144969,1
UPRT:NM_001363821,1
ABCB7:NM_004299,1
NEXMIF:NM_001008537,1
RLIM:NM_183353,0
SLC16A2:NM_006517,2
ZCCHC13:NM_203303,0
CHIC1:NM_001300884,0
CDX4:NM_005193,0
NAP1L2:NM_021963,1
PABPC1L2A:NM_001012977.3_2,1
PABPC1L2B:NM_001042506.2_2,1
FAM236A:NM_001348071.2_2,1
FAM236C:NM_001351112.1_2,1
DMRTC1:NM_033053.3_2,0
FAM236D:NM_001348203.1_2,0
FAM236B:NM_001348072.1_2,2
DMRTC1B:NM_001386972.1_2,1
