Symbol,Ferroptosis,UPR,Mitochondrial,TF,TF_Cof,Age
RPL8,yes,no,no,no,no,no
IREB2,yes,no,no,no,no,no
ATP5MC3,yes,no,yes,no,no,no
CS,yes,no,yes,no,no,no
EMC2,yes,yes,no,no,no,no
ACSF2,yes,no,yes,no,no,no
NOX1,yes,no,no,no,no,no
CYBB,yes,yes,no,no,no,no
NOX3,yes,no,no,no,no,no
NOX4,yes,yes,no,no,no,no
NOX5,yes,no,no,no,no,no
DUOX1,yes,no,no,no,no,no
DUOX2,yes,no,no,no,no,no
G6PD,yes,yes,no,no,no,no
PGD,yes,no,no,no,no,no
VDAC2,yes,no,yes,no,no,no
TP53,yes,yes,no,yes,no,yes
ACSL4,yes,no,no,no,no,no
LPCAT3,yes,yes,no,no,no,no
NRAS,yes,no,no,no,no,no
KRAS,yes,yes,no,no,no,no
HRAS,yes,no,no,no,no,yes
CARS1,yes,no,no,no,no,no
KEAP1,yes,yes,no,no,no,no
HMOX1,yes,yes,no,no,yes,no
ATG5,yes,no,no,no,no,no
ATG7,yes,no,no,no,no,no
NCOA4,yes,no,no,no,yes,no
TF,yes,yes,no,no,no,no
ALOX5,yes,no,no,no,no,no
ALOX12,yes,no,no,no,no,no
ALOX12B,yes,no,no,no,no,no
ALOX15,yes,no,no,no,no,no
ALOX15B,yes,no,no,no,no,no
ALOXE3,yes,no,no,no,no,no
PHKG2,yes,no,no,no,no,no
SAT1,yes,no,no,no,no,no
EGFR,yes,yes,no,no,yes,yes
MAPK3,yes,yes,no,no,no,yes
MAPK1,yes,yes,no,no,no,no
ZEB1,yes,no,no,yes,no,no
DPP4,yes,no,no,no,no,no
CDKN2A,yes,yes,no,no,no,yes
PEBP1,yes,no,no,no,no,no
SOCS1,yes,no,no,no,no,no
CDO1,yes,no,no,no,no,no
MYB,yes,no,no,yes,no,no
SLC1A5,yes,no,no,no,no,no
CHAC1,yes,yes,no,no,no,no
LINC00472,yes,no,no,no,no,no
GOT1,yes,no,no,no,no,no
BECN1,yes,yes,no,no,no,no
PRKAA2,yes,yes,no,no,no,no
PRKAA1,yes,yes,no,no,no,no
ELAVL1,yes,yes,no,no,no,no
BAP1,yes,no,no,no,no,no
ABCC1,yes,no,no,no,no,no
MIR6852,yes,no,no,no,no,no
ACVR1B,yes,no,no,no,no,no
TGFBR1,yes,no,no,no,no,no
IFNG,yes,yes,no,no,no,no
ANO6,yes,no,no,no,no,no
HMGB1,yes,yes,no,yes,no,yes
TNFAIP3,yes,no,no,no,no,no
