Symbol,Ferroptosis,UPR,Mitochondrial,TF,TF_Cof,Age
PIK3CA,yes,yes,no,no,no,no
FLT3,yes,no,no,no,no,no
SCP2,yes,yes,yes,no,no,no
TP53,yes,no,no,yes,no,no
TF,yes,no,no,no,no,no
TFRC,yes,yes,no,no,no,no
TFR2,yes,no,no,no,no,no
SLC38A1,yes,no,no,no,no,no
SLC1A5,yes,no,no,no,no,no
GLS2,yes,no,yes,no,no,no
GOT1,yes,no,no,no,no,no
ALOX5,yes,no,no,no,no,no
KEAP1,yes,yes,no,no,no,no
HMOX1,yes,yes,no,no,yes,no
ATG5,yes,no,no,no,no,yes
ATG7,yes,no,no,no,no,no
ACO1,yes,no,no,no,no,no
IREB2,yes,no,no,no,no,no
G6PDX,yes,yes,no,no,no,no
ULK1,yes,no,no,no,no,no
ATG3,yes,no,no,no,no,no
ATG4D,yes,no,no,no,no,no
BECN1,yes,yes,no,no,no,no
MAP1LC3A,yes,yes,no,no,no,no
GABARAPL2,yes,yes,no,no,no,no
GABARAPL1,yes,yes,no,no,no,no
ATG16L1,yes,no,no,no,no,no
WIPI1,yes,yes,no,no,no,no
WIPI2,yes,no,no,no,no,no
SNX4,yes,no,no,no,no,no
ATG13,yes,no,no,no,no,no
ULK2,yes,no,no,no,no,no
NCOA4,yes,no,no,no,yes,no
SAT1,yes,no,no,no,no,no
ACSL4,yes,no,no,no,no,no
LPCAT3,yes,yes,no,no,no,no
ALOX15,yes,no,no,no,no,no
BID,yes,no,yes,no,no,no
DPP4,yes,no,no,no,no,no
CDKN2A,yes,yes,no,no,no,no
PEBP1,yes,no,no,no,no,no
MAPK14,yes,yes,no,no,no,no
ELAVL1,yes,yes,no,no,no,no
EPAS1,yes,yes,no,yes,no,no
HILPDA,yes,no,no,no,no,no
HIF1A,yes,yes,no,yes,no,no
ALOX12,yes,no,no,no,no,no
IFNG,yes,yes,no,no,no,no
ANO6,yes,no,no,no,no,no
LPIN1,yes,yes,no,no,yes,no
HMGB1,yes,yes,no,yes,no,no
YY1AP1,yes,no,no,no,yes,no
EGLN2,yes,no,no,no,yes,no
MIOX,yes,no,no,no,no,no
TAFAZZIN,yes,no,no,no,no,no
MTDH,yes,yes,no,no,yes,no
SIRT1,yes,yes,no,no,yes,yes
FBXW7,yes,no,no,no,yes,no
PANX1,yes,no,no,no,no,no
DNAJB6,yes,yes,no,no,no,no
BACH1,yes,no,no,yes,no,no
IL1B,yes,yes,no,no,no,no
POR,yes,yes,no,no,no,no
NR1D1,yes,no,no,yes,no,no
NR1D2,yes,no,no,yes,no,no
TBK1,yes,no,no,no,no,no
IL6,yes,yes,no,no,no,no
CTSB,yes,yes,no,no,no,no
ATF4,yes,yes,no,yes,no,no
LINC00618,yes,no,no,no,no,no
PEX10,yes,no,no,no,no,no
LIG3,yes,no,yes,no,no,no
ZEB1,yes,no,no,yes,no,no
PVT1,yes,no,no,no,no,no
SLC39A14,yes,yes,no,no,no,no
MAP3K11,yes,no,no,no,no,no
BRD7,yes,no,no,no,yes,no
SLC25A28,yes,no,yes,no,no,no
TSC1,yes,no,no,no,no,no
LGMN,yes,no,no,no,no,no
IFNA1,yes,no,no,no,no,no
IFNA2,yes,no,no,no,no,no
IFNA4,yes,no,no,no,no,no
IFNA5,yes,no,no,no,no,no
