gene_name,read_count
IL9R:NM_002186,0
VAMP7:NM_001145149,0
CDY1:NM_004680,0
BPY2C:NM_001002761,0
DAZ4:NM_020420,0
DAZ3:NM_020364,0
BPY2B:NM_001002760,0
CDY1B:NM_001003895,0
DAZ2:NM_001005786,0
DAZ1:NM_001388496,0
BPY2:NM_004678,0
PRY:NM_004676,0
RBMY1J:NM_001006117,0
RBMY1F:NM_001382382,0
PRY2:NM_001002758,0
RBMY1E:NM_001006118,0
RBMY1D:NM_001320950,0
RBMY1A1:NM_001320945,0
RBMY1B:NM_001320948,0
RPS4Y2:NM_001039567,0
EIF1AY:NM_001278612,0
KDM5D:NM_001146705,0
HSFY2:NM_001001877,0
HSFY1:NM_152584,0
CDY2A:NM_004825,0
CDY2B:NM_001001722,0
NLGN4Y:NM_001206850,0
VCY1B:NM_181880,0
VCY:NM_004679,0
TMSB4Y:NM_004202,0
UTY:NM_001400170,0
DDX3Y:NM_001122665,0
USP9Y:NM_004654,0
TTTY15:NR_174086,0
TSPY10:NM_001282469.3_2,0
TSPY9:NM_001396063.1_2,0
TSPY1:NM_001320964.2_2,0
TSPY3:NM_001077697.2_2,0
TSPY8:NM_001243721.2_2,0
TSPY4:NM_001164471.2_2,0
NMTRQ-TTG8-1:NMTRQ-TTG8-1,0
TBL1Y:NM_134258,0
AMELY:NM_001143,0
TSPY2:NM_022573.4_2,0
PCDH11Y:NM_001395587,0
TGIF2LY:NM_139214,0
ZFY:NM_001369708,0
RPS4Y1:NM_001008,0
SRY:NM_003140,0
CD99:NM_001321369,0
ZBED1:NM_001171136,0
DHRSX:NM_145177,0
ASMT:NM_004043,0
AKAP17A:NM_005088,0
P2RY8:NM_178129,0
ASMTL:NM_001173473,0
SLC25A6:NM_001636,0
IL3RA:NM_001267713,0
CSF2RA:NM_001379162,0
CRLF2:NM_022148,0
SHOX:NM_006883,0
PPP2R3B:NM_013239,0
GTPBP6:NM_012227,0
PLCXD1:NM_001370371,0
SPRY3:NM_001304990,16
TMLHE:NM_018196,16
H2AB3:NM_080720,0
F8A3:NM_001007524,0
F8A2:NM_001007523,0
H2AB2:NM_001017991,0
CLIC2:NM_001289,9
RAB39B:NM_171998,2
VBP1:NM_001303544,12
BRCC3:NM_001018055,23
MTCP1:NM_001018025,7
CMC4:NM_001018024,8
FUNDC2:NM_023934,15
F8A1:NM_012151,0
H2AB1:NM_001017990,0
F8:NM_000132,23
SMIM9:NM_001162936,3
MPP1:NM_001166462,28
DKC1:NM_001142463,27
GAB3:NR_104114,38
CTAG2:NM_020994,0
CTAG1B:NM_001327,0
CTAG1A:NM_139250,0
IKBKG:NM_001377313,16
G6PD:NM_001042351,17
FAM3A:NM_001282311,12
SLC10A3:NM_019848,8
UBL4A:NM_014235,6
LAGE3:NM_006014,2
PLXNA3:NM_017514,17
FAM50A:NM_004699,6
GDI1:NM_001493,8
ATP6AP1:NM_001183,7
TAFAZZIN:NM_181313,6
DNASE1L1:NM_001009932,10
RPL10:NM_001256580,7
EMD:NM_000117,5
FLNA:NM_001110556,35
TKTL1:NM_001145933,4
TEX28:NM_001205201,0
OPN1MW3:NM_001330067,0
OPN1MW2:NM_001048181,0
OPN1MW:NM_000513,0
OPN1LW:NM_020061,0
MECP2:NM_001316337,38
IRAK1:NM_001569,14
TMEM187:NM_003492,2
HCFC1:NM_005334,45
RENBP:NM_002910,10
NAA10:NM_003491,6
ARHGAP4:NM_001164741,7
AVPR2:NR_027419,5
L1CAM:NM_001278116,6
PDZD4:NM_001303513,7
SSR4:NM_001204527,2
IDH3G:NM_174869,6
SRPK3:NM_001170761,4
PLXNB3:NM_005393,4
ABCD1:NM_000033,9
BCAP31:NM_005745,15
SLC6A8:NM_001142805,7
PNCK:NM_001366975,2
DUSP9:NM_001395,5
CCNQ:NM_152274,9
ATP2B3:NM_001388361,14
BGN:NM_001711,4
HAUS7:NM_001385483,22
TREX2:NM_080701,1
ZFP92:NM_001386943,5
PNMA6E:NM_001367770,2
ZNF275:NM_001080485,18
PNMA6F:NM_001354980,0
PWWP4:NM_001395996,0
MAGEA1:NM_004988,1
PNMA6A:NM_032882,0
PNMA3:NM_001282535,1
PNMA5:NM_001184924.2_2,3
ZNF185:NM_001388432.2_2,19
NSDHL:NM_015922.3_2,23
CETN2:NM_004344.3_2,4
MAGEA6:NM_175868.4_2,0
MAGEA2:NM_005361.3_2,0
MAGEA12:NM_005367.7_2,2
CSAG1:NM_153478.3_2,1
MAGEA2B:NM_001321404.1_2,0
CSAG2:NM_001395334.1_2,0
MAGEA3:NM_005362.4_2,0
GABRQ:NM_018558.4_2,12
GABRA3:NM_000808,35
MAGEA10:NM_001011543,4
GABRE:NM_004961,35
MAGEA4:NM_001386196,0
CNGA2:NM_005140,3
FATE1:NM_033085,5
PRRG3:NM_001372165,2
PASD1:NM_173493,16
VMA21:NM_001363810,5
GPR50:NM_004224,2
HMGB3:NM_001301231,0
CD99L2:NM_001242614,23
MTMR1:NM_001353993,27
MTM1:NM_001376907,22
MAMLD1:NM_001400514,21
HSFX4:NM_001351114,0
EOLA2:NM_001013845,1
MAGEA8:NM_005364,0
MAGEA9:NM_005365,0
HSFX1:NM_016153,0
MAGEA11:NM_001011544,3
TMEM185A:NM_032508,4
HSFX2:NM_001164415,0
MAGEA9B:NM_001080790,0
HSFX3:NM_001323079,1
EOLA1:NM_001324279,2
IDS:NM_000202,13
AFF2:NM_001169125,56
FMR1NB:NM_152578,3
FMR1:NM_001185081,13
CXorf51A:NM_001144064,0
CXorf51B:NM_001244892,0
SLITRK2:NM_001144003,3
SPANXN1:NM_001009614,2
SPANXN2:NM_001009615.3_2,0
SLITRK4:NM_001184749,1
SPANXN3:NM_001009609,0
SPANXN4:NM_001009613,2
MAGEC2:NM_016249,3
MAGEC1:NM_005462,2
MAGEC3:NM_138702,11
SPANXD:NM_032417,0
SPANXA2:NM_145662,0
SPANXA1:NM_013453,0
SPANXC:NM_022661,0
LDOC1:NM_012317,1
SPANXB1:NM_032461,0
SOX3:NM_005634,0
CXorf66:NM_001013403,1
ATP11C:NM_001353811,31
MCF2:NM_001171876,11
F9:NM_001313913,3
FGF13:NM_001139501,65
ZIC3:NM_001330661,3
GPR101:NM_054021,3
RBMX:NM_001164803,8
ARHGEF6:NM_004840,22
CD40LG:NM_000074,3
VGLL1:NM_016267,2
HTATSF1:NM_001163280,8
BRS3:NM_001727,3
ADGRG4:NM_153834,16
MAP7D3:NM_001173516,4
FHL1:NR_027621,14
SLC9A6:NM_001400909,16
MMGT1:NM_173470,5
SAGE1:NM_001381902,5
CT45A10:NM_001291530,1
CT45A9:NM_001291540,0
CT45A8:NM_001291535,0
CT45A7:NM_001394668,0
CT45A2:NM_152582,0
CT45A6:NM_001017438,0
CT45A5:NM_001007551,0
CT45A3:NM_001370148,0
CT45A1:NM_001017417,0
INTS6L:NM_001351606,15
SMIM10L2A:NM_203306,1
ZNF449:NM_152695,7
ETDC:NM_001358449,0
ETDA:NM_001355522,0
ZNF75D:NR_110381,15
CT55:NM_017863,0
ETDB:NM_001355519,0
SMIM10L2B:NM_001348255,0
RTL8A:NM_001078172,3
RTL8C:NM_001078171,2
RTL8B:NM_001078173,1
SMIM10:NM_001163438,1
MOSPD1:NM_019556,2
PABIR3:NM_001388449,7
PABIR2:NM_001387469,11
PLAC1:NM_001316887,22
HPRT1:NM_000194,15
PHF6:NM_001015877,17
CCDC160:NM_001353453,1
GPC3:NM_001164617,59
GPC4:NM_001448,12
TFDP3:NM_016521,2
USP26:NM_031907,6
HS6ST2:NM_001077188,38
MBNL3:NM_001386892,12
RAP2C:NM_001271186,3
FRMD7:NM_194277,7
STK26:NM_001042453,8
OR13H1:NM_001004486,1
IGSF1:NM_001170961,3
ARHGAP36:NM_001282607,8
ENOX2:NM_001382516,65
RBMX2:NM_016024,8
GPR119:NM_178471,3
SLC25A14:NM_001282198,10
ZNF280C:NM_017666,14
AIFM1:NM_001130847,23
RAB33A:NM_004794,3
ELF4:NM_001421,29
BCORL1:NM_001184772,32
UTP14A:NM_001166221,23
ZDHHC9:NM_016032,20
SASH3:NM_018990,5
XPNPEP2:NM_003399,6
APLN:NM_017413,3
OCRL:NM_001587,21
SMARCA1:NM_003069,8
ACTRT1:NM_138289,0
PRR32:NM_001122716,1
DCAF12L1:NM_178470,2
DCAF12L2:NM_001013628,0
TEX13C:NM_001195272,0
TENM1:NM_001163278,92
SH2D1A:NM_001114937,6
TEX13D:NM_001355534,2
STAG2:NM_001042749,32
XIAP:NM_001378592,13
THOC2:NM_001081550,41
GRIA3:NM_007325,49
GLUD2:NM_012084.4_2,2
CT47A1:NM_001080146.3_2,0
CT47A2:NM_001080145.2_2,0
CT47A3:NM_001080144.2_2,0
CT47A4:NM_001080143.2_2,0
CT47A5:NM_001080142.2_2,0
CT47A6:NM_001080141,0
CT47A7:NM_001080140,0
CT47A8:NM_001080139,0
CT47A9:NM_001080138,0
CT47A10:NM_001080137,0
CT47A11:NM_173571.2_2,0
CT47A12:NM_001242922,0
CT47B1:NM_001145718.3_2,0
C1GALT1C1:NM_152692.5_2,0
MCTS1:NM_014060.3_2,5
CUL4B:NM_003588,19
LAMP2:NM_001122606,13
ATP1B4:NM_012069,4
TMEM255A:NM_017938,6
ZBTB33:NM_006777,2
RHOXF2:NM_032498,0
LINC01402:NR_126557,0
RHOXF1:NM_139282,1
RHOXF2B:NM_001099685,0
NKAP:NM_024528,4
AKAP14:NM_001008534,2
NDUFA1:NM_004541,3
RNF113A:NM_006978,2
UPF3B:NM_080632,15
RPL39:NM_001000,6
SOWAHD:NM_001105576,1
SEPTIN6:NM_145800.4_2,38
NKRF:NM_017544.5_2,8
UBE2A:NM_001282161.2_2,3
STEEP1:NM_001170569.1_2,6
SLC25A5:NM_001152,5
SLC25A43:NM_145305,14
PGRMC1:NM_001282621,4
KIAA1210:NM_020721,5
LONRF3:NM_024778,23
ZCCHC12:NM_001312891,1
IL13RA1:NM_001560,11
DOCK11:NM_144658,71
WDR44:NM_001184966,23
KLHL13:NM_001168301,20
CT83:NM_001017978,0
SLC6A14:NM_007231,0
AGTR2:NM_001385624,2
PLS3:NM_005032,15
LUZP4:NM_001318840,2
RBMXL3:NM_001145346,0
LRCH2:NM_020871,17
IL13RA2:NM_000640,3
HTR2C:NM_001256761,39
AMOT:NM_001386999,8
LHFPL1:NM_178175,5
RTL4:NM_001004308,33
TRPC5OS:NM_001195576,3
TRPC5:NM_012471,30
ALG13:NM_001257230,21
SERTM2:NM_001354473,3
DCX:NM_178151,19
CAPN6:NM_014289,3
PAK3:NM_001128167,38
CHRDL1:NM_001367204,22
TDGF1P3:NM_001397362,0
RTL9:NM_001385449,14
GNG5P2:NM_001396022,1
AMMECR1:NM_001171689,49
TMEM164:NM_001353849,94
ACSL4:NM_022977,20
KCNE5:NM_012282,0
NXT2:NM_018698,0
GUCY2F:NM_001522,14
IRS4:NM_001379150,2
COL4A5:NM_000495,21
COL4A6:NM_001847,24
ATG4A:NM_178270,10
PSMD10:NM_002814,2
VSIG1:NM_182607,6
TEX13B:NM_031273,1
MID2:NM_001382752,11
NCBP2L:NM_001348372,1
TSC22D3:NM_001318468,12
PRPS1:NM_001204402,8
FRMPD3:NM_001388462,20
DNAAF6:NM_173494,4
NUP62CL:NM_017681,16
RBM41:NM_001394122,23
MORC4:NM_024657,5
CLDN2:NM_001171092,8
RIPPLY1:NM_138382,0
TBC1D8B:NM_017752,5
RNF128:NM_024539,8
RADX:NM_001184782,3
PWWP3B:NM_001171020,3
SERPINA7:NM_000354,2
NRK:NM_198465,13
TEX13A:NM_031274,2
IL1RAPL2:NM_017416,112
ESX1:NM_153448,2
FAM199X:NM_207318,8
ZCCHC18:NM_001143978,2
SLC25A53:NM_001012755,10
H2BW2:NM_001388464,0
H2BW1:NM_001002916,0
TMSB15B:NM_001350213,1
PLP1:NM_001128834,5
TMEM31:NM_182541,2
MORF4L2:NM_001142422,8
TCEAL1:NM_001006640,0
TCEAL3:NM_032926,0
TCEAL4:NM_001300901,1
RAB40A:NM_080879,3
BEX3:NM_001282674,0
TCEAL9:NM_001006614,0
TCEAL7:NM_001348258,1
BEX2:NM_001168399,0
TCEAL5:NM_001012979,2
TCEAL8:NM_153333,4
BEX4:NM_001080425,0
NXF3:NM_022052,1
BEX1:NM_018476,0
RAB40AL:NM_001031834,0
BHLHB9:NM_001142528,4
GPRASP2:NM_138437,0
GPRASP1:NM_001099411,4
ARMCX5:NM_001168485,2
TMSB15A:NM_021992,1
TCP11X2:NM_001277423,0
NXF2B:NM_001099686,0
NXF2:NM_022053,0
TCP11X1:NM_001368158,0
BEX5:NM_001012978.3_2,1
TCEAL6:NM_001006938,0
TCEAL2:NM_080390.4_2,0
ZMAT1:NM_001011657,3
ARMCX2:NM_177949,0
ARMCX3:NM_177947,5
ARMCX6:NM_001184768,0
ARMCX1:NM_016608,0
ARMCX4:NR_028407,4
HNRNPH2:NM_001032393,3
GLA:NM_000169,7
RPL36A:NM_021029,5
RPL36A-HNRNPH2:NM_001199974,12
BTK:NM_001287344,14
TIMM8A:NM_001145951,2
TAF7L:NM_024885,2
DRP2:NM_001171184,5
CENPI:NM_001386188,13
TMEM35A:NM_021637,1
TRMT2B:NM_001167972,17
ARL13A:NM_001162491,3
XKRX:NM_212559,2
NOX1:NM_007052,5
CSTF2:NM_001306209,13
SYTL4:NM_001370167,14
SRPX2:NM_014467,6
TSPAN6:NM_001278741,0
TNMD:NM_022144,5
PCDH19:NM_001184880,19
RPA4:NM_013347,0
DIAPH2:NM_006729,53
FAM133A:NM_173698,3
NAP1L3:NM_004538,2
PCDH11X:NM_032968,8
PABPC5:NM_080832,0
TGIF2LX:NM_138960,0
CPXCR1:NM_001184771,1
KLHL4:NM_057162,15
DACH2:NM_001139514,38
CHM:NM_000390,26
POF1B:NM_024921,2
ZNF711:NM_001375431,3
SATL1:NM_001367858,11
APOOL:NM_198450,16
HDX:NM_001177479,8
RPS6KA6:NM_014496,9
CYLC1:NM_001271680,1
POU3F4:NM_000307,0
SH3BGRL:NM_003022,12
HMGN5:NM_030763,9
BRWD3:NM_153252,24
TENT5D:NM_001170574,14
TBX22:NM_001109879.2_2,1
ITM2A:NM_004867,0
GPR174:NM_032553,6
P2RY10:NM_198333,2
LPAR4:NM_001278000,3
RTL3:NM_152694,2
CYSLTR1:NM_001282188,5
TAF9B:NM_015975,2
PGK1:NM_000291,11
PGAM4:NM_001029891,0
ATP7A:NM_001282224,34
COX7B:NM_001866,3
MAGT1:NM_001367916,11
ATRX:NM_000489,46
FGF16:NM_003868,1
MAGEE1:NM_020932,1
PBDC1:NM_001300888,3
MAGEE2:NM_138703,1
ZDHHC15:NM_144969,15
UPRT:NM_001363821,14
ABCB7:NM_004299,21
NEXMIF:NM_001008537,19
RLIM:NM_183353,16
SLC16A2:NM_006517,12
ZCCHC13:NM_203303,1
CHIC1:NM_001300884,7
CDX4:NM_005193,1
NAP1L2:NM_021963,1
PABPC1L2A:NM_001012977,0
PABPC1L2B:NM_001042506,0
FAM236A:NM_001348071,0
FAM236C:NM_001351112,0
DMRTC1:NM_033053,0
FAM236D:NM_001348203,0
FAM236B:NM_001348072,0
DMRTC1B:NM_001386972,0
PHKA1:NM_002637,22
HDAC8:NM_018486,74
CITED1:NM_001144886,0
RPS4X:NM_001007,10
ERCC6L:NM_001009954,10
PIN4:NM_001170747,20
RTL5:NM_001024455,2
NHSL2:NM_001013627,39
CXorf49B:NM_001145139,0
CXorf49:NM_001145140,0
CXCR3:NM_001142797,1
GCNA:NM_052957,11
OGT:NM_181673,28
TAF1:NR_104394,50
ITGB1BP2:NM_001303277,4
NONO:NM_001145410,17
ZMYM3:NM_001171162,16
GJB1:NM_001097642,2
NLGN3:NM_001321276,9
MED12:NM_005120,23
IL2RG:NM_000206,1
CXorf65:NM_001025265,2
FOXO4:NM_001170931,6
SNX12:NM_001256185,7
SLC7A3:NM_032803,2
TEX11:NM_001003811,21
DLG3:NM_021120,17
GDPD2:NM_001171191,4
KIF4A:NM_012310,39
PDZD11:NM_001370176,4
RAB41:NM_001032726,3
ARR3:NM_004312,1
