gene_name,read_count
chr1_0_65418:chr1_0_65418,1
chr1_71585_450739:chr1_71585_450739,0
chr1_451678_685715:chr1_451678_685715,0
chr1_686654_923922:chr1_686654_923922,30
chr1_959256_960583:chr1_959256_960583,4
chr1_982093_998963:chr1_982093_998963,3
chr1_1000097_1013496:chr1_1000097_1013496,4
chr1_1014540_1020119:chr1_1014540_1020119,1
chr1_1056116_1070966:chr1_1056116_1070966,7
chr1_1074306_1081822:chr1_1074306_1081822,2
chr1_1116089_1173879:chr1_1116089_1173879,15
chr1_1197936_1203507:chr1_1197936_1203507,3
chr1_1206592_1211339:chr1_1206592_1211339,1
chr1_1214153_1216930:chr1_1214153_1216930,4
chr1_1235041_1242452:chr1_1235041_1242452,4
chr1_1246722_1253911:chr1_1246722_1253911,6
chr1_1273854_1280435:chr1_1273854_1280435,3
chr1_1328896_1331279:chr1_1328896_1331279,5
chr1_1349418_1352688:chr1_1349418_1352688,5
chr1_1363541_1373735:chr1_1363541_1373735,8
chr1_1375207_1385710:chr1_1375207_1385710,10
chr1_1399335_1401908:chr1_1399335_1401908,10
chr1_1407293_1418419:chr1_1407293_1418419,9
chr1_1421276_1425870:chr1_1421276_1425870,2
chr1_1430255_1435689:chr1_1430255_1435689,7
chr1_1442882_1449688:chr1_1442882_1449688,1
chr1_1470163_1471764:chr1_1470163_1471764,0
chr1_1497848_1512161:chr1_1497848_1512161,4
chr1_1540624_1541672:chr1_1540624_1541672,7
chr1_1574863_1598011:chr1_1574863_1598011,6
chr1_1600135_1615499:chr1_1600135_1615499,12
chr1_1630605_1632172:chr1_1630605_1632172,0
chr1_1659004_1661477:chr1_1659004_1661477,1
chr1_1692795_1702378:chr1_1692795_1702378,0
chr1_1724357_1751231:chr1_1724357_1751231,7
chr1_1780031_1785285:chr1_1780031_1785285,3
chr1_1891087_1915259:chr1_1891087_1915259,15
chr1_1919279_1921956:chr1_1919279_1921956,4
chr1_2003786_2019344:chr1_2003786_2019344,11
chr1_2030758_2050410:chr1_2030758_2050410,6
chr1_2212720_2228318:chr1_2212720_2228318,6
chr1_2310213_2321252:chr1_2310213_2321252,5
chr1_2413827_2467450:chr1_2413827_2467450,16
chr1_2505532_2508536:chr1_2505532_2508536,6
chr1_2526596_2528744:chr1_2526596_2528744,4
chr1_2530263_2556370:chr1_2530263_2556370,9
chr1_2563829_2586776:chr1_2563829_2586776,8
chr1_2633016_2636985:chr1_2633016_2636985,1
chr1_2801693_3021466:chr1_2801693_3021466,68
chr1_3022903_3069202:chr1_3022903_3069202,14
chr1_3438621_3454664:chr1_3438621_3454664,6
chr1_3481113_3487950:chr1_3481113_3487950,4
chr1_3611508_3625014:chr1_3611508_3625014,7
chr1_3650103_3652515:chr1_3650103_3652515,3
chr1_3736201_3752449:chr1_3736201_3752449,14
chr1_3771645_3772748:chr1_3771645_3772748,5
chr1_3775956_3778558:chr1_3775956_3778558,8
chr1_3796498_3812085:chr1_3796498_3812085,5
chr1_3885429_3889132:chr1_3885429_3889132,12
chr1_3900272_4654608:chr1_3900272_4654608,285
chr1_4792534_5862810:chr1_4792534_5862810,318
chr1_6180321_6185019:chr1_6180321_6185019,3
chr1_6199595_6206118:chr1_6199595_6206118,11
chr1_6235964_6244178:chr1_6235964_6244178,5
chr1_6245578_6247352:chr1_6245578_6247352,2
chr1_6261098_6264271:chr1_6261098_6264271,5
chr1_6393767_6415231:chr1_6393767_6415231,5
chr1_6419919_6424775:chr1_6419919_6424775,3
chr1_6520092_6521346:chr1_6520092_6521346,3
chr1_6589280_6590723:chr1_6589280_6590723,5
chr1_6602869_6613730:chr1_6602869_6613730,3
chr1_6701816_6785453:chr1_6701816_6785453,22
chr1_7769706_7771295:chr1_7769706_7771295,2
chr1_7781432_7784290:chr1_7781432_7784290,3
chr1_7845177_7847611:chr1_7845177_7847611,2
chr1_7853491_7915870:chr1_7853491_7915870,24
chr1_7940839_7961710:chr1_7940839_7961710,4
chr1_7985505_8011726:chr1_7985505_8011726,16
chr1_8026309_8318113:chr1_8026309_8318113,61
chr1_8344165_8352403:chr1_8344165_8352403,7
chr1_8817640_8860999:chr1_8817640_8860999,19
